comparison,category,ref_count,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,relative_error_reduction,
Large_v3_stage,all_terms,1053,347,282,65,0.329534663,0.267806268,0.187319885,0.061728395
Large_v3_stage,aviation_terms,535,185,132,53,0.345794393,0.246728972,0.286486486,0.099065421
Large_v3_stage,non_aviation_terms,518,162,150,12,0.312741313,0.28957529,0.074074074,0.023166023
Prompt_stage,all_terms,1053,199,161,38,0.188983856,0.152896486,0.190954774,0.036087369
Prompt_stage,aviation_terms,535,84,79,5,0.157009346,0.147663551,0.05952381,0.009345794
Prompt_stage,non_aviation_terms,518,115,82,33,0.222007722,0.158301158,0.286956522,0.063706564
Azure_to_LoRA,all_terms,1053,347,199,148,0.329534663,0.188983856,0.426512968,0.140550807
Azure_to_LoRA,aviation_terms,535,185,84,101,0.345794393,0.157009346,0.545945946,0.188785047
Azure_to_LoRA,non_aviation_terms,518,162,115,47,0.312741313,0.222007722,0.290123457,0.090733591
Azure_to_Final,all_terms,1053,347,161,186,0.329534663,0.152896486,0.536023055,0.176638177
Azure_to_Final,aviation_terms,535,185,79,106,0.345794393,0.147663551,0.572972973,0.198130841
Azure_to_Final,non_aviation_terms,518,162,82,80,0.312741313,0.158301158,0.49382716,0.154440154
